WY,Date,Q_mean
1913,10/1/1912,3580
1913,10/2/1912,3580
1913,10/3/1912,2930
1913,10/4/1912,2930
1913,10/5/1912,2620
1913,10/6/1912,2620
1913,10/7/1912,2460
1913,10/8/1912,3090
1913,10/9/1912,1880
1913,10/10/1912,2160
1913,10/11/1912,1720
1913,10/12/1912,2310
1913,10/13/1912,2310
1913,10/14/1912,2020
1913,10/15/1912,2620
1913,10/16/1912,2160
1913,10/17/1912,2930
1913,10/18/1912,3090
1913,10/19/1912,3090
1913,10/20/1912,2620
1913,10/21/1912,2770
1913,10/22/1912,2770
1913,10/23/1912,2020
1913,10/24/1912,2930
1913,10/25/1912,2770
1913,10/26/1912,2620
1913,10/27/1912,2770
1913,10/28/1912,2620
1913,10/29/1912,3090
1913,10/30/1912,1820
1913,10/31/1912,2310
1913,11/1/1912,2770
1913,11/2/1912,2460
1913,11/3/1912,2770
1913,11/4/1912,2620
1913,11/5/1912,2460
1913,11/6/1912,2160
1913,11/7/1912,2620
1913,11/8/1912,3580
1913,11/9/1912,36000
1913,11/10/1912,23600
1913,11/11/1912,10700
1913,11/12/1912,6620
1913,11/13/1912,6240
1913,11/14/1912,4260
1913,11/15/1912,3740
1913,11/16/1912,3580
1913,11/17/1912,3740
1913,11/18/1912,3580
1913,11/19/1912,3250
1913,11/20/1912,3250
1913,11/21/1912,3090
1913,11/22/1912,3090
1913,11/23/1912,3090
1913,11/24/1912,2930
1913,11/25/1912,2770
1913,11/26/1912,2930
1913,11/27/1912,2310
1913,11/28/1912,2930
1913,11/29/1912,2770
1913,11/30/1912,2770
1913,12/1/1912,2930
1913,12/2/1912,2930
1913,12/3/1912,2930
1913,12/4/1912,2620
1913,12/5/1912,3250
1913,12/6/1912,3250
1913,12/7/1912,4430
1913,12/8/1912,4780
1913,12/9/1912,4600
1913,12/10/1912,3910
1913,12/11/1912,4780
1913,12/12/1912,5140
1913,12/13/1912,3250
1913,12/14/1912,3250
1913,12/15/1912,3090
1913,12/16/1912,3090
1913,12/17/1912,2930
1913,12/18/1912,2620
1913,12/19/1912,3250
1913,12/20/1912,3090
1913,12/21/1912,3090
1913,12/22/1912,3090
1913,12/23/1912,3250
1913,12/24/1912,3250
1913,12/25/1912,3250
1913,12/26/1912,4080
1913,12/27/1912,3910
1913,12/28/1912,4080
1913,12/29/1912,4960
1913,12/30/1912,4430
1913,12/31/1912,3740
1913,1/1/1913,5140
1913,1/2/1913,5500
1913,1/3/1913,7400
1913,1/4/1913,6620
1913,1/5/1913,7010
1913,1/6/1913,6620
1913,1/7/1913,6620
1913,1/8/1913,6620
1913,1/9/1913,5500
1913,1/10/1913,4780
1913,1/11/1913,4600
1913,1/12/1913,4260
1913,1/13/1913,3910
1913,1/14/1913,3410
1913,1/15/1913,4430
1913,1/16/1913,3910
1913,1/17/1913,3580
1913,1/18/1913,3580
1913,1/19/1913,3410
1913,1/20/1913,3740
1913,1/21/1913,3580
1913,1/22/1913,3910
1913,1/23/1913,3910
1913,1/24/1913,3910
1913,1/25/1913,6620
1913,1/26/1913,10400
1913,1/27/1913,9500
1913,1/28/1913,18500
1913,1/29/1913,25100
1913,1/30/1913,24300
1913,1/31/1913,14200
1913,2/1/1913,9960
1913,2/2/1913,8210
1913,2/3/1913,7400
1913,2/4/1913,5870
1913,2/5/1913,7400
1913,2/6/1913,6620
1913,2/7/1913,6620
1913,2/8/1913,5870
1913,2/9/1913,4780
1913,2/10/1913,4600
1913,2/11/1913,4080
1913,2/12/1913,4780
1913,2/13/1913,4260
1913,2/14/1913,4780
1913,2/15/1913,4080
1913,2/16/1913,4080
1913,2/17/1913,3910
1913,2/18/1913,3580
1913,2/19/1913,3740
1913,2/20/1913,3580
1913,2/21/1913,3410
1913,2/22/1913,3740
1913,2/23/1913,3910
1913,2/24/1913,3910
1913,2/25/1913,3740
1913,2/26/1913,4260
1913,2/27/1913,4080
1913,2/28/1913,4960
1913,3/1/1913,14200
1913,3/2/1913,21400
1913,3/3/1913,13000
